stock_id,t,state,firm_size,book_to_price,alpha,beta_mkt,beta_smb,beta_hml,MKT,SMB,HML,epsilon,raw_return,return,price
stock_000,t_0,-1,1.255717943736973,1.2750383433336119,0.014569312330036648,1.0141205118129903,-0.1321277227259155,-0.2623578063648988,0.04669266461095116,-0.0019694700268556107,0.027163946825781497,-0.02438823285930978,0.030666616492097558,0.030666616492097558,103.06666164920975
stock_000,t_1,-1,1.370729535213105,0.9321014679103421,0.014569312330036648,1.007350885194668,-0.1945242911609081,-0.5236415416278357,0.042706900053077326,-0.05336544278398632,0.021661967204359332,-0.01246071780539056,0.044167197125494356,0.044167197125494356,107.61882721133703
stock_000,t_2,-1,1.2900683108683138,1.0236397142551525,0.014569312330036648,1.0083417938287569,-0.15134296184672602,-0.4455139042855159,0.05074064099071106,-0.00445171756252935,-0.01719403135024716,-0.018362903971794242,0.055704233473311396,0.055704233473311396,113.6136514884413
stock_000,t_3,-1,1.2418762650420567,1.339026307721191,0.014569312330036648,1.015256982003528,-0.12423582732056934,-0.2215197766858451,-0.04296709986596384,-0.042428834075939954,-0.01198216402290121,-0.004223726592491558,-0.02535159479557974,-0.02535159479557974,110.73336423266014
stock_000,t_4,-1,1.2182328026559586,1.426249526399637,0.014569312330036648,1.0165734872903038,-0.11054971578096395,-0.1688897260280422,0.026020670680399635,-0.048829366046715485,-0.005122511185791658,0.03197940692362931,0.07926385523784535,0.07926385523784535,119.5105175851973
stock_000,t_5,-1,1.1413632504971956,1.305397445267373,0.014569312330036648,1.0119619279571077,-0.06414304779616192,-0.24273270316038495,-0.012792085025529336,0.005300878919562366,0.015131681032136354,0.0047114570233603385,0.0023226979581807364,0.0023226979581807364,119.78810442037357
stock_000,t_6,-1,1.3413462033127768,0.7428817876159552,0.014569312330036648,0.9998936617185107,-0.1790957021668533,-0.712880102550061,-0.037248009884686455,-0.03541250097961271,0.01504114583530005,-0.004759045111160649,-0.03181408863356142,-0.03181408863356142,115.9771550490975
stock_000,t_7,-1,1.0508881152653318,0.7750249527429294,0.014569312330036648,0.9938432673299381,-0.005340569075529843,-0.6775532842515849,-0.17031672324598182,-0.10509399928820803,-0.022407965328680203,-0.031069612584774347,-0.1700245767019878,-0.1,104.37943954418776
stock_000,t_8,-1,0.821759381522055,0.8375873692388829,0.014569312330036648,0.9887938795230491,0.16977104679069938,-0.6128095691701295,-0.07542044775629261,-0.05833634740972804,0.023439123981979025,-0.05024048834113071,-0.13451399537822134,-0.1,93.94149558976899
stock_000,t_9,-1,1.5147649091460595,0.7265102412547603,0.014569312330036648,1.0028727265621333,-0.2656652990247267,-0.7314652512730078,-0.10690468607020977,0.0050040419315085655,-0.01961676708693138,-0.014589237272199925,-0.09421213577332363,-0.09421213577332363,85.09106665251659
